Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
,Alkaline soils,,,,,"Cottonseed",,"177100.00",,,,,,,'Sondra,F,10'
,Peaty soils,,,,,"Oil,,"331",,,,,,,'Sophianna,F,10'
,Marshy soils,,,,,"Wine",,"12000.00",,,,,,,'Sophiarose,F,10'
,Sandy Soil,,,,,"Cotton lint",,"101000.00",,,,,,,'Sorayah,F,10'
,Clay Soil,,,,,"Cotton lint",,"11.00",,,,,,,'Soriah,F,10'
,Silt Soil,,,,,"Margarine,,"1242",,,,,,,'Sreya,F,10'
,Alluvial soils,,,,,"Beer of barley",,"340000.00",,,,,,,'Srihitha,F,10'
,Black soils,,,,,"Oil,,"60",,,,,,,'Srija,F,10'
,Red soils,,,,,"Sugar Raw Centrifugal",,"1594972.00",,,,,,,'Stephenie,F,10'
,Laterite soils,,,,,"Molasses",,"502900.00",,,,,,,'Stevee,F,10'
,Desert soils,,,,,"Oil,,"237",,,,,,,'Stormee,F,10'
,Mountain soils,,,,,"Oil,,"244",,,,,,,'Subhana,F,10'
,Saline soils,,,,,"Oil,,"252",,,,,,,'Suheyla,F,10'
,Alkaline soils,,,,,"Palm kernels",,"120.00",,,,,,,'Sulema,F,10'
,Peaty soils,,,,,"Oil,,"257",,,,,,,'Sumer,F,10'
,Marshy soils,,,,,"Oil,,"258",,,,,,,'Summerlyn,F,10'
,Sandy Soil,,,,,"Cottonseed",,"20.00",,,,,,,'Supriya,F,10'
,Clay Soil,,,,,"Oil,,"331",,,,,,,'Sway,F,10'
,Silt Soil,,,,,"Molasses",,"540700.00",,,,,,,'Syriana,F,10'
,Alluvial soils,,,,,"Margarine,,"1242",,,,,,,'Tailor,F,10'
,Black soils,,,,,"Oil,,"290",,,,,,,'Taiya,F,10'
,Red soils,,,,,"Oil,,"271",,,,,,,'Taiyari,F,10'
,Laterite soils,,,,,"Oil,,"268",,,,,,,'Takia,F,10'
,Desert soils,,,,,"Oil,,"258",,,,,,,'Takiya,F,10'
,Mountain soils,,,,,"Oil,,"244",,,,,,,'Tallula,F,10'
,Saline soils,,,,,"Oil,,"237",,,,,,,'Tamaria,F,10'
,Alkaline soils,,,,,"Oil,,"334",,,,,,,'Tansy,F,10'
,Peaty soils,,,,,"Sugar Raw Centrifugal",,"1706000.00",,,,,,,'Tanylah,F,10'
,Marshy soils,,,,,"Beer of barley",,"945300.00",,,,,,,'Tarini,F,10'
,Sandy Soil,,,,,"Oil,, virgin",,,,,,,'Tawny,F,10'
,Clay Soil,,,,,"Beer of barley",,"85719.00",,,,,,,'Tayden,F,10'
,Silt Soil,,,,,"Oil,,"60",,,,,,,'Taylour,F,10'
,Alluvial soils,,,,,"Sugar Raw Centrifugal",,"15330.00",,,,,,,'Tejasvi,F,10'
,Black soils,,,,,"Margarine,,"1242",,,,,,,'Temple,F,10'
,Red soils,,,,,"Wine",,"1169040.00",,,,,,,'Teniola,F,10'
,Laterite soils,,,,,"Oil,,"334",,,,,,,'Teodora,F,10'
,Desert soils,,,,,"Oil,,"331",,,,,,,'Terriah,F,10'
,Mountain soils,,,,,"Oil,,"290",,,,,,,'Teyla,F,10'
,Saline soils,,,,,"Oil,,"271",,,,,,,'Teyonna,F,10'
,Alkaline soils,,,,,"Molasses",,"7564.35",,,,,,,'Thia,F,10'
,Peaty soils,,,,,"Oil,,"244",,,,,,,'Tilda,F,10'
,Marshy soils,,,,,"Oil,,"252",,,,,,,'Tilia,F,10'
,Sandy Soil,,,,,"Oil,,"258",,,,,,,'Timberlee,F,10'
,Clay Soil,,,,,"Oil,,"252",,,,,,,'Tinzlee,F,10'
,Silt Soil,,,,,"Sugar Raw Centrifugal",,"578455.00",,,,,,,'Tobi,F,10'
,Alluvial soils,,,,,"Molasses",,"234397.00",,,,,,,'Toluwanimi,F,10'
,Black soils,,,,,"Oil,,"252",,,,,,,'Toriana,F,10'
,Red soils,,,,,"Oil,,"244",,,,,,,'Torin,F,10'
,Laterite soils,,,,,"Oil,,"60",,,,,,,'Tynleigh,F,10'
,Desert soils,,,,,"Oil,,"334",,,,,,,'Tynslee,F,10'
,Mountain soils,,,,,"Oil,,"331",,,,,,,'Valen,F,10'
,Saline soils,,,,,"Cottonseed",,"8444.00",,,,,,,'Vallerie,F,10'
,Alkaline soils,,,,,"Cotton lint",,"4226.00",,,,,,,'Valley,F,10'
,Peaty soils,,,,,"Margarine,,"1242",,,,,,,'Venba,F,10'
,Marshy soils,,,,,"Beer of barley",,"49758.00",,,,,,,'Venezia,F,10'
,Sandy Soil,,,,,"Oil,,"290",,,,,,,'Vi,F,10'
,Clay Soil,,,,,"Oil,,"271",,,,,,,'Vianka,F,10'
,Silt Soil,,,,,"Oil,,"271",,,,,,,'Viha,F,10'
,Alluvial soils,,,,,"Beer of barley",,"351100.00",,,,,,,'Vincy,F,10'
,Black soils,,,,,"Oil,,"60",,,,,,,'Vitoria,F,10'
,Red soils,,,,,"Sugar Raw Centrifugal",,"408096.00",,,,,,,'Viya,F,10'
,Laterite soils,,,,,"Molasses",,"176000.00",,,,,,,'Vrinda,F,10'
,Desert soils,,,,,"Oil,,"237",,,,,,,'Wiley,F,10'
,Mountain soils,,,,,"Oil,,"268",,,,,,,'Wilhemina,F,10'
,Saline soils,,,,,"Oil,,"334",,,,,,,'Xayla,F,10'
,Alkaline soils,,,,,"Wine",,"679200.00",,,,,,,'Yani,F,10'
,Peaty soils,,,,,"Margarine,,"1242",,,,,,,'Yannis,F,10'
,Marshy soils,,,,,"Cotton lint",,"80.00",,,,,,,'Yarah,F,10'
,Sandy Soil,,,,,"Beer of barley",,"12653.00",,,,,,,'Yaremi,F,10'
,Clay Soil,,,,,"Sugar Raw Centrifugal",,"100.00",,,,,,,'Yarieliz,F,10'
,Silt Soil,,,,,"Molasses",,"52.50",,,,,,,'Yeila,F,10'
,Alluvial soils,,,,,"Oil,,"244",,,,,,,'Yeira,F,10'
,Black soils,,,,,"Cottonseed",,"162.50",,,,,,,'Yesly,F,10'
,Red soils,,,,,"Beer of barley",,"2008.50",,,,,,,'Yixuan,F,10'
,Laterite soils,,,,,"Wine",,"60.00",,,,,,,'Yorley,F,10'
,Desert soils,,,,,"Oil,,"244",,,,,,,'Yousra,F,10'
,Mountain soils,,,,,"Molasses",,"70450.00",,,,,,,'Zacari,F,10'
,Saline soils,,,,,"Sugar Raw Centrifugal",,"252700.00",,,,,,,'Zaharah,F,10'
,Alkaline soils,,,,,"Cotton lint",,"17.00",,,,,,,'Zaidy,F,10'
,Peaty soils,,,,,"Oil,,"331",,,,,,,'Zakhia,F,10'
,Marshy soils,,,,,"Cottonseed",,"35.00",,,,,,,'Zakyra,F,10'
,Sandy Soil,,,,,"Oil,,"252",,,,,,,'Zaliah,F,10'
,Clay Soil,,,,,"Molasses",,"11414.76",,,,,,,'Zamariah,F,10'
,Silt Soil,,,,,"Sugar Raw Centrifugal",,"35391.00",,,,,,,'Zamia,F,10'
,Alluvial soils,,,,,"Beer of barley",,"514.00",,,,,,,'Zanai,F,10'
,Black soils,,,,,"Oil,,"252",,,,,,,'Zareen,F,10'
,Red soils,,,,,"Oil,,"60",,,,,,,'Zeba,F,10'
,Laterite soils,,,,,"Molasses",,"0.00",,,,,,,'Zeenat,F,10'
,Desert soils,,,,,"Oil,,"331",,,,,,,'Zeidy,F,10'
,Mountain soils,,,,,"Cottonseed",,"65.00",,,,,,,'Zeniya,F,10'
,Saline soils,,,,,"Oil,,"244",,,,,,,'Zeynab,F,10'
,Alkaline soils,,,,,"Beer of barley",,"0.00",,,,,,,'Zoeigh,F,10'
,Peaty soils,,,,,"Cotton lint",,"33.00",,,,,,,'Zoeyann,F,10'
,Marshy soils,,,,,"Oil,,"252",,,,,,,'Zolee,F,10'
,Sandy Soil,,,,,"Oil,,"252",,,,,,,'Zully,F,10'
,Clay Soil,,,,,"Oil,,"257",,,,,,,'Zurii,F,10'
,Silt Soil,,,,,"Oil,,"252",,,,,,,'Aabha,F,9'
,Alluvial soils,,,,,"Palm kernels",,"271.00",,,,,,,'Aakriti,F,9'
,Black soils,,,,,"Oil,,"331",,,,,,,'Aala,F,9'
,Red soils,,,,,"Oil,,"290",,,,,,,'Aalani,F,9'
,Laterite soils,,,,,"Cottonseed",,"0.00",,,,,,,'Aalayna,F,9'
,Desert soils,,,,,"Cottonseed",,"6100.00",,,,,,,'Aamna,F,9'
,Mountain soils,,,,,"Oil,,"258",,,,,,,'Aarianna,F,9'
,Saline soils,,,,,"Beer of barley",,"7900.00",,,,,,,'Aariyana,F,9'
,Alkaline soils,,,,,"Palm kernels",,"8100.00",,,,,,,'Aarnavi,F,9'
,Peaty soils,,,,,"Oil,,"244",,,,,,,'Aaryanna,F,9'
,Marshy soils,,,,,"Oil,,"257",,,,,,,'Aasia,F,9'
,Sandy Soil,,,,,"Cotton lint",,"3500.00",,,,,,,'Aayana,F,9'
,Clay Soil,,,,,"Oil,,"331",,,,,,,'Aaylah,F,9'
,Silt Soil,,,,,"Oil,,"252",,,,,,,'Aayliah,F,9'
,Alluvial soils,,,,,"Oil,,"257",,,,,,,'Aaziyah,F,9'
,Black soils,,,,,"Beer of barley",,"5251.00",,,,,,,'Abbygayle,F,9'
,Red soils,,,,,"Oil,,"244",,,,,,,'Abeni,F,9'
,Laterite soils,,,,,"Palm kernels",,"67642.00",,,,,,,'Abigaile,F,9'
,Desert soils,,,,,"Oil,,"258",,,,,,,'Abraham,F,9'
,Mountain soils,,,,,"Oil,,"258",,,,,,,'Abrina,F,9'
,Saline soils,,,,,"Oil,,"237",,,,,,,'Acsa,F,9'
,Alkaline soils,,,,,"Margarine,,"1242",,,,,,,'Adalay,F,9'
,Peaty soils,,,,,"Oil,,"60",,,,,,,'Adalida,F,9'
,Marshy soils,,,,,"Beer of barley",,"38300.00",,,,,,,'Adalys,F,9'
,Sandy Soil,,,,,"Beer of barley",,"0.00",,,,,,,'Adan,F,9'
,Clay Soil,,,,,"Oil,,"252",,,,,,,'Addley,F,9'
,Silt Soil,,,,,"Palm kernels",,"40.00",,,,,,,'Adeliah,F,9'
,Alluvial soils,,,,,"Oil,,"257",,,,,,,'Adena,F,9'
,Black soils,,,,,"Oil,,"331",,,,,,,'Aderinsola,F,9'
,Red soils,,,,,"Sugar Raw Centrifugal",,"30700.00",,,,,,,'Adianna,F,9'
,Laterite soils,,,,,"Molasses",,"11000.00",,,,,,,'Adilyne,F,9'
,Desert soils,,,,,"Oil,,"290",,,,,,,'Adilynne,F,9'
,Mountain soils,,,,,"Cottonseed",,"2400.00",,,,,,,'Adlai,F,9'
,Saline soils,,,,,"Cotton lint",,"1008.00",,,,,,,'Adwita,F,9'
,Alkaline soils,,,,,"Margarine,,"1242",,,,,,,'Adylen,F,9'
,Peaty soils,,,,,"Cotton lint",,"14076.00",,,,,,,'Adylynn,F,9'
,Marshy soils,,,,,"Wine",,"492232.00",,,,,,,'Adyn,F,9'
,Sandy Soil,,,,,"Oil,,"331",,,,,,,'Aerie,F,9'
,Clay Soil,,,,,"Cottonseed",,"24532.00",,,,,,,'Aerilynn,F,9'
,Silt Soil,,,,,"Oil,,"268",,,,,,,'Agape,F,9'
,Alluvial soils,,,,,"Oil,,"244",,,,,,,'Ahmarie,F,9'
,Black soils,,,,,"Oil,,"237",,,,,,,'Ahmyra,F,9'
,Red soils,,,,,"Molasses",,"521000.00",,,,,,,'Ahriya,F,9'
,Laterite soils,,,,,"Sugar Raw Centrifugal",,"1505382.00",,,,,,,'Ahriyah,F,9'
,Desert soils,,,,,"Oil,,"60",,,,,,,'Aily,F,9'
,Mountain soils,,,,,"Beer of barley",,"499526.17",,,,,,,'Aima,F,9'
,Saline soils,,,,,"Sugar Raw Centrifugal",,"734487.00",,,,,,,'Aimy,F,9'
,Alkaline soils,,,,,"Oil,,"334",,,,,,,'Aishi,F,9'
,Peaty soils,,,,,"Beer of barley",,"1022000.00",,,,,,,'Aislee,F,9'
,Marshy soils,,,,,"Oil,,"60",,,,,,,'Aivy,F,9'
,Sandy Soil,,,,,"Wine",,"2313300.00",,,,,,,'Aiyannah,F,9'
,Clay Soil,,,,,"Cotton lint",,"77519.00",,,,,,,'Akela,F,9'
,Silt Soil,,,,,"Margarine,,"1242",,,,,,,'Akosua,F,9'
,Alluvial soils,,,,,"Oil,,"331",,,,,,,'Akua,F,9'
,Black soils,,,,,"Cottonseed",,"135800.00",,,,,,,'Alaeyah,F,9'
,Red soils,,,,,"Oil,,"281",,,,,,,'Alan,F,9'
,Laterite soils,,,,,"Oil,,"268",,,,,,,'Alanea,F,9'
,Desert soils,,,,,"Oil,, virgin",,,,,,,'Alanii,F,9'
,Mountain soils,,,,,"Oil,,"252",,,,,,,'Alaria,F,9'
,Saline soils,,,,,"Oil,,"237",,,,,,,'Alayzia,F,9'
,Alkaline soils,,,,,"Molasses",,"228000.00",,,,,,,'Alekhya,F,9'
,Peaty soils,,,,,"Margarine,,"1242",,,,,,,'Alese,F,9'
,Marshy soils,,,,,"Beer of barley",,"7514.00",,,,,,,'Aleshka,F,9'
,Sandy Soil,,,,,"Sugar Raw Centrifugal",,"7900.00",,,,,,,'Alexxia,F,9'
,Clay Soil,,,,,"Molasses",,"3910.50",,,,,,,'Alexy,F,9'
,Silt Soil,,,,,"Oil,,"237",,,,,,,'Aleynah,F,9'
,Alluvial soils,,,,,"Oil,,"244",,,,,,,'Alianys,F,9'
,Black soils,,,,,"Oil,,"252",,,,,,,'Alila,F,9'
,Red soils,,,,,"Oil,,"290",,,,,,,'Alita,F,9'
,Laterite soils,,,,,"Cottonseed",,"435.00",,,,,,,'Alizayah,F,9'
,Desert soils,,,,,"Oil,,"331",,,,,,,'Alliannah,F,9'
,Mountain soils,,,,,"Cotton lint",,"217.00",,,,,,,'Allis,F,9'
,Saline soils,,,,,"Beer of barley",,"7500.00",,,,,,,'Allona,F,9'
,Alkaline soils,,,,,"Molasses",,"33000.00",,,,,,,'Allyse,F,9'
,Peaty soils,,,,,"Cotton lint",,"180188.00",,,,,,,'Aluna,F,9'
,Marshy soils,,,,,"Oil,,"331",,,,,,,'Alveena,F,9'
,Sandy Soil,,,,,"Cottonseed",,"339090.00",,,,,,,'Alyn,F,9'
,Clay Soil,,,,,"Oil,,"290",,,,,,,'Alyss,F,9'
,Silt Soil,,,,,"Oil,,"244",,,,,,,'Alyzabeth,F,9'
,Alluvial soils,,,,,"Sugar Raw Centrifugal",,"101369.00",,,,,,,'Amana,F,9'
,Black soils,,,,,"Sugar Raw Centrifugal",,"17123.00",,,,,,,'Amariz,F,9'
,Red soils,,,,,"Beer of barley",,"7226.00",,,,,,,'Amaryah,F,9'
,Laterite soils,,,,,"Margarine,,"1242",,,,,,,'Amaziah,F,9'
,Desert soils,,,,,"Oil,,"252",,,,,,,'Amberleigh,F,9'
,Mountain soils,,,,,"Molasses",,"8318.00",,,,,,,'Amberley,F,9'
,Saline soils,,,,,"Molasses",,"46000.00",,,,,,,'Ambrea,F,9'
,Alkaline soils,,,,,"Sugar Raw Centrifugal",,"154996.00",,,,,,,'Ambrosia,F,9'
,Peaty soils,,,,,"Beer of barley",,"0.00",,,,,,,'Ameah,F,9'
,Marshy soils,,,,,"Cotton lint",,"2500.00",,,,,,,'Ameliyah,F,9'
,Sandy Soil,,,,,"Oil,,"331",,,,,,,'Amenah,F,9'
,Clay Soil,,,,,"Cottonseed",,"5149.00",,,,,,,'Ameriyah,F,9'
,Silt Soil,,,,,"Molasses",,"99077.00",,,,,,,'Amiayah,F,9'
,Alluvial soils,,,,,"Beer of barley",,"384869.00",,,,,,,'Amiliya,F,9'
,Black soils,,,,,"Oil,,"271",,,,,,,'Amillya,F,9'
,Red soils,,,,,"Oil,,"334",,,,,,,'Amiylah,F,9'
,Laterite soils,,,,,"Margarine,,"1242",,,,,,,'Amiyrah,F,9'
,Desert soils,,,,,"Oil,,"252",,,,,,,'Ammi,F,9'
,Mountain soils,,,,,"Oil,,"237",,,,,,,'Amrie,F,9'
,Saline soils,,,,,"Sugar Raw Centrifugal",,"297000.00",,,,,,,'Amyna,F,9'
,Alkaline soils,,,,,"Oil,,"252",,,,,,,'Amyrie,F,9'
,Peaty soils,,,,,"Oil,,"271",,,,,,,'Anab,F,9'
,Marshy soils,,,,,"Oil,,"334",,,,,,,'Anabrenda,F,9'
,Sandy Soil,,,,,"Wine",,"90483.00",,,,,,,'Anael,F,9'
,Clay Soil,,,,,"Margarine,,"1242",,,,,,,'Anaja,F,9'
,Silt Soil,,,,,"Beer of barley",,"451000.00",,,,,,,'Anaka,F,9'
,Alluvial soils,,,,,"Oil,,"60",,,,,,,'Analah,F,9'
,Black soils,,,,,"Sugar Raw Centrifugal",,"67720.00",,,,,,,'Analena,F,9'
,Red soils,,,,,"Molasses",,"16000.00",,,,,,,'Anamari,F,9'
,Laterite soils,,,,,"Oil,,"237",,,,,,,'Anayaa,F,9'
,Desert soils,,,,,"Oil,,"244",,,,,,,'Anayiah,F,9'
,Mountain soils,,,,,"Oil,,"258",,,,,,,'Anelisse,F,9'
,Saline soils,,,,,"Oil,,"268",,,,,,,'Anelle,F,9'
,Alkaline soils,,,,,"Beer of barley",,"2300.00",,,,,,,'Anett,F,9'
,Peaty soils,,,,,"Sugar Raw Centrifugal",,"22000.00",,,,,,,'Angelinne,F,9'
,Marshy soils,,,,,"Molasses",,"10000.00",,,,,,,'Angelmarie,F,9'
,Sandy Soil,,,,,"Oil,, virgin",,,,,,,'Annaliah,F,9'
,Clay Soil,,,,,"Oil,,"290",,,,,,,'Annaliz,F,9'
,Silt Soil,,,,,"Cottonseed",,"244000.00",,,,,,,'Anthea,F,9'
,Alluvial soils,,,,,"Oil,,"331",,,,,,,'Anwitha,F,9'
,Black soils,,,,,"Wine",,"95.00",,,,,,,'Anzleigh,F,9'
,Red soils,,,,,"Cotton lint",,"150000.00",,,,,,,'Aonesty,F,9'
,Laterite soils,,,,,"Margarine,,"1242",,,,,,,'Apphia,F,9'
,Desert soils,,,,,"Oil,,"258",,,,,,,'Aqsa,F,9'
,Mountain soils,,,,,"Cottonseed",,"73187.50",,,,,,,'Araiza,F,9'
,Saline soils,,,,,"Palm kernels",,"205.00",,,,,,,'Areanna,F,9'
,Alkaline soils,,,,,"Oil,,"257",,,,,,,'Arica,F,9'
,Peaty soils,,,,,"Oil,,"331",,,,,,,'Arietta,F,9'
,Marshy soils,,,,,"Oil,,"290",,,,,,,'Aritza,F,9'
,Sandy Soil,,,,,"Molasses",,"109000.00",,,,,,,'Arriella,F,9'
,Clay Soil,,,,,"Sugar Raw Centrifugal",,"189000.00",,,,,,,'Aryanne,F,9'
,Silt Soil,,,,,"Margarine,,"1242",,,,,,,'Aryiana,F,9'
,Alluvial soils,,,,,"Cotton lint",,"36886.50",,,,,,,'Astraea,F,9'
,Black soils,,,,,"Beer of barley",,"35800.00",,,,,,,'Atiyah,F,9'
,Red soils,,,,,"Oil,,"237",,,,,,,'Atlanta,F,9'
,Laterite soils,,,,,"Oil,,"244",,,,,,,'Atticus,F,9'
,Desert soils,,,,,"Oil,,"252",,,,,,,'Aubreelynn,F,9'
,Mountain soils,,,,,"Oil,,"257",,,,,,,'Aubrianne,F,9'
,Saline soils,,,,,"Palm kernels",,"969.00",,,,,,,'Audrea,F,9'
,Alkaline soils,,,,,"Oil,,"252",,,,,,,'Audreyann,F,9'
,Peaty soils,,,,,"Cotton lint",,"2300.00",,,,,,,'Audryana,F,9'
,Marshy soils,,,,,"Cottonseed",,"4600.00",,,,,,,'Audyn,F,9'
,Sandy Soil,,,,,"Oil,,"237",,,,,,,'Aundraya,F,9'
,Clay Soil,,,,,"Oil,,"252",,,,,,,'Auriah,F,9'
,Silt Soil,,,,,"Palm kernels",,"13000.00",,,,,,,'Avaeh,F,9'
,Alluvial soils,,,,,"Oil,,"257",,,,,,,'Avagail,F,9'
,Black soils,,,,,"Oil,,"258",,,,,,,'Avangelina,F,9'
,Red soils,,,,,"Beer of barley",,"5121.00",,,,,,,'Aveleen,F,9'
,Laterite soils,,,,,"Oil,,"252",,,,,,,'Averleigh,F,9'
,Desert soils,,,,,"Oil,,"244",,,,,,,'Avianah,F,9'
,Mountain soils,,,,,"Margarine,,"1242",,,,,,,'Avienda,F,9'
,Saline soils,,,,,"Beer of barley",,"10436.00",,,,,,,'Avis,F,9'
,Alkaline soils,,,,,"Molasses",,"98800.00",,,,,,,'Aviyanna,F,9'
,Peaty soils,,,,,"Oil,,"244",,,,,,,'Avorie,F,9'
,Marshy soils,,,,,"Oil,,"252",,,,,,,'Avriel,F,9'
,Sandy Soil,,,,,"Sugar Raw Centrifugal",,"247305.00",,,,,,,'Axel,F,9'
,Clay Soil,,,,,"Oil,,"268",,,,,,,'Aylana,F,9'
,Silt Soil,,,,,"Sugar Raw Centrifugal",,"3434.00",,,,,,,'Aylina,F,9'
,Alluvial soils,,,,,"Beer of barley",,"32445.14",,,,,,,'Aylyn,F,9'
,Black soils,,,,,"Molasses",,"1705.00",,,,,,,'Ayrah,F,9'
,Red soils,,,,,"Cottonseed",,"70.00",,,,,,,'Aza,F,9'
,Laterite soils,,,,,"Oil,,"334",,,,,,,'Azalynn,F,9'
,Desert soils,,,,,"Wine",,"95200.00",,,,,,,'Azarie,F,9'
,Mountain soils,,,,,"Cotton lint",,"35.00",,,,,,,'Azarria,F,9'
,Saline soils,,,,,"Margarine,,"1242",,,,,,,'Azayah,F,9'
,Alkaline soils,,,,,"Oil,, virgin",,,,,,,'Azizah,F,9'
,Peaty soils,,,,,"Oil,,"237",,,,,,,'Bassheva,F,9'
,Marshy soils,,,,,"Margarine,,"1242",,,,,,,'Bassy,F,9'
,Sandy Soil,,,,,"Beer of barley",,"85000.00",,,,,,,'Bayah,F,9'
,Clay Soil,,,,,"Oil,,"60",,,,,,,'Beautifull,F,9'
,Silt Soil,,,,,"Sugar Raw Centrifugal",,"780000.00",,,,,,,'Bell,F,9'
,Alluvial soils,,,,,"Molasses",,"176800.00",,,,,,,'Bellatrix,F,9'
,Black soils,,,,,"Oil,,"237",,,,,,,'Benelli,F,9'
,Red soils,,,,,"Oil,,"244",,,,,,,'Bentli,F,9'
,Laterite soils,,,,,"Oil,,"252",,,,,,,'Bentlie,F,9'
,Desert soils,,,,,"Oil,, virgin",,,,,,,'Bessy,F,9'
,Mountain soils,,,,,"Oil,,"268",,,,,,,'Betul,F,9'
,Saline soils,,,,,"Oil,,"271",,,,,,,'Betzabe,F,9'
,Alkaline soils,,,,,"Oil,,"290",,,,,,,'Betzabeth,F,9'
,Peaty soils,,,,,"Cottonseed",,"696451.00",,,,,,,'Beyza,F,9'
,Marshy soils,,,,,"Oil,,"331",,,,,,,'Blessen,F,9'
,Sandy Soil,,,,,"Oil,,"334",,,,,,,'Brae,F,9'
,Clay Soil,,,,,"Wine",,"40408.00",,,,,,,'Braylea,F,9'
,Silt Soil,,,,,"Cotton lint",,"435282.00",,,,,,,'Braylon,F,9'
,Alluvial soils,,,,,"Oil,,"252",,,,,,,'Bre,F,9'
,Black soils,,,,,"Oil,,"237",,,,,,,'Breale,F,9'
,Red soils,,,,,"Beer of barley",,"3830000.00",,,,,,,'Breena,F,9'
,Laterite soils,,,,,"Oil,,"60",,,,,,,'Breindy,F,9'
,Desert soils,,,,,"Sugar Raw Centrifugal",,"9587000.00",,,,,,,'Breyah,F,9'
,Mountain soils,,,,,"Molasses",,"3170000.00",,,,,,,'Breyonna,F,9'
,Saline soils,,,,,"Oil,,"244",,,,,,,'Bricia,F,9'
,Alkaline soils,,,,,"Oil,,"252",,,,,,,'Brielyn,F,9'
,Peaty soils,,,,,"Oil,,"258",,,,,,,'Brigit,F,9'
,Marshy soils,,,,,"Oil,,"268",,,,,,,'Briona,F,9'
,Sandy Soil,,,,,"Oil,,"271",,,,,,,'Brittanie,F,9'
,Clay Soil,,,,,"Oil,,"281",,,,,,,'Bryan,F,9'
,Silt Soil,,,,,"Oil,,"290",,,,,,,'Brycelynn,F,9'
,Alluvial soils,,,,,"Cottonseed",,"3626000.00",,,,,,,'Brynlei,F,9'
,Black soils,,,,,"Oil,,"331",,,,,,,'Bryonna,F,9'
,Red soils,,,,,"Oil,,"334",,,,,,,'Bryony,F,9'
,Laterite soils,,,,,"Wine",,"1912500.00",,,,,,,'Caeley,F,9'
,Desert soils,,,,,"Cotton lint",,"1995000.00",,,,,,,'Caisyn,F,9'
,Mountain soils,,,,,"Margarine,,"1242",,,,,,,'California,F,9'
,Saline soils,,,,,"Sugar Raw Centrifugal",,"166000.00",,,,,,,'Calii,F,9'
,Alkaline soils,,,,,"Oil,,"237",,,,,,,'Calirae,F,9'
,Peaty soils,,,,,"Oil,,"244",,,,,,,'Calirose,F,9'
,Marshy soils,,,,,"Oil,,"268",,,,,,,'Calisi,F,9'
,Sandy Soil,,,,,"Beer of barley",,"19800.00",,,,,,,'Calvary,F,9'
,Clay Soil,,,,,"Molasses",,"77000.00",,,,,,,'Camie,F,9'
,Silt Soil,,,,,"Cotton lint",,"62560.00",,,,,,,'Canyon,F,9'
,Alluvial soils,,,,,"Oil,,"331",,,,,,,'Capree,F,9'
,Black soils,,,,,"Cottonseed",,"137630.00",,,,,,,'Carman,F,9'
,Red soils,,,,,"Oil,,"290",,,,,,,'Catalea,F,9'
,Laterite soils,,,,,"Oil,,"237",,,,,,,'Catalena,F,9'
,Desert soils,,,,,"Oil,,"271",,,,,,,'Cathalina,F,9'
,Mountain soils,,,,,"Oil,,"244",,,,,,,'Cathrine,F,9'
,Saline soils,,,,,"Beer of barley",,"5143300.00",,,,,,,'Catrina,F,9'
,Alkaline soils,,,,,"Molasses",,"320400.00",,,,,,,'Cecilee,F,9'
,Peaty soils,,,,,"Oil,,"237",,,,,,,'Cedella,F,9'
,Marshy soils,,,,,"Oil,,"244",,,,,,,'Ceili,F,9'
,Sandy Soil,,,,,"Oil,,"252",,,,,,,'Chanley,F,9'
,Clay Soil,,,,,"Oil,,"258",,,,,,,'Charise,F,9'
,Silt Soil,,,,,"Oil,,"271",,,,,,,'Chaylee,F,9'
,Alluvial soils,,,,,"Oil,,"331",,,,,,,'Cherrish,F,9'
,Black soils,,,,,"Oil,,"334",,,,,,,'Chesnee,F,9'
,Red soils,,,,,"Margarine,,"1242",,,,,,,'Chevie,F,9'
,Laterite soils,,,,,"Oil,,"60",,,,,,,'Cheylynn,F,9'
,Desert soils,,,,,"Sugar Raw Centrifugal",,"974450.00",,,,,,,'Chikamso,F,9'
,Mountain soils,,,,,"Oil,,"268",,,,,,,'Chinmayi,F,9'
,Saline soils,,,,,"Beer of barley",,"31185.00",,,,,,,'Christel,F,9'
,Alkaline soils,,,,,"Sugar Raw Centrifugal",,"89600.00",,,,,,,'Ciani,F,9'
,Peaty soils,,,,,"Molasses",,"31357.90",,,,,,,'Ciarra,F,9'
,Marshy soils,,,,,"Oil,,"257",,,,,,,'Ciella,F,9'
,Sandy Soil,,,,,"Palm kernels",,"1035.00",,,,,,,'Cionna,F,9'
,Clay Soil,,,,,"Oil,,"252",,,,,,,'Clairabelle,F,9'
,Silt Soil,,,,,"Oil,,"244",,,,,,,'Cole,F,9'
,Alluvial soils,,,,,"Cotton lint",,"51348.00",,,,,,,'Collin,F,9'
,Black soils,,,,,"Margarine,,"1242",,,,,,,'Colton,F,9'
,Red soils,,,,,"Oil,,"331",,,,,,,'Conlee,F,9'
,Laterite soils,,,,,"Cottonseed",,"98588.00",,,,,,,'Copelynn,F,9'
,Desert soils,,,,,"Oil,,"290",,,,,,,'Copper,F,9'
,Mountain soils,,,,,"Oil,,"258",,,,,,,'Coralei,F,9'
